municipio,ccaa,provincia,ph_medio,dureza_media,parametros_ok,parametros_fuera_rango,n_muestras,n_potable,no_potabilidad
MONTITXELVO/MONTICHELVO,Comunitat Valenciana,Valencia/València,8.05,215.0,93,0,5,5,0.0
NAVAMORCUENDE,Castilla - La Mancha,Toledo,6.75,,31,0,2,2,0.0
FONDARELLA,Cataluña,Lleida,8.2,,18,0,2,2,0.0
FONCEA,"Rioja, La",Rioja (La),8.0,,12,0,1,1,0.0
FOMPEDRAZA,Castilla y León,Valladolid,8.033333333333333,,47,0,5,5,0.0
NAVARES DE ENMEDIO,Castilla y León,Segovia,8.2,,12,0,2,2,0.0
NAVARES DE LAS CUEVAS,Castilla y León,Segovia,7.39,,12,0,3,3,0.0
FRESNO DE CANTESPINO,Castilla y León,Segovia,7.975,,83,0,11,11,0.0
MURILLO DE GÁLLEGO,Aragón,Zaragoza,7.933333333333333,,61,0,3,3,0.0
FRESNO DE LA FUENTE,Castilla y León,Segovia,7.7,330.0,59,0,5,5,0.0
MONTOLIU DE SEGARRA,Cataluña,Lleida,7.65,,24,0,2,2,0.0
MONTFERRI,Cataluña,Tarragona,7.625,,66,0,4,4,0.0
MONTGAI,Cataluña,Lleida,8.0,,24,0,2,2,0.0
MONTGAT,Cataluña,Barcelona,7.890909090909091,163.0,170,0,15,15,0.0
FUENTEPIÑEL,Castilla y León,Segovia,8.1,,17,0,7,7,0.0
FUENTEPINILLA,Castilla y León,Soria,7.599999999999999,,74,0,10,10,0.0
FUENTENEBRO,Castilla y León,Burgos,7.8,,7,0,3,3,0.0
FUENTIDUEÑA,Castilla y León,Segovia,7.800000000000001,236.0,59,0,5,5,0.0
FUENTELSAZ,Castilla - La Mancha,Guadalajara,7.5,,11,0,1,1,0.0
FUENTEMOLINOS,Castilla y León,Burgos,7.9,,51,0,6,6,0.0
NAVALUENGA,Castilla y León,Avila,6.933333333333334,,97,0,10,10,0.0
NIHARRA,Castilla y León,Avila,7.3,,17,0,8,8,0.0
NAVARREVISCA,Castilla y León,Avila,7.6,,14,0,5,5,0.0
NAVARREDONDA DE LA RINCONADA,Castilla y León,Salamanca,7.4,,12,0,3,3,0.0
NAVARREDONDA DE GREDOS,Castilla y León,Avila,7.85,,55,0,6,6,0.0
FOMBUENA,Aragón,Zaragoza,8.5,171.0,20,0,3,3,0.0
FONTIHOYUELO,Castilla y León,Valladolid,,,2,0,2,2,0.0
NAVALES,Castilla y León,Salamanca,7.8,,19,0,4,4,0.0
NAVALILLA,Castilla y León,Segovia,8.3,,13,0,4,4,0.0
NAVALMORAL,Castilla y León,Avila,6.75,,23,0,5,5,0.0
NAVALONGUILLA,Castilla y León,Avila,7.7,,14,0,5,5,0.0
NAVALOSA,Castilla y León,Avila,7.5,,55,0,4,4,0.0
NAVALPERAL DE PINARES,Castilla y León,Avila,7.142857142857143,,89,0,11,11,0.0
NAVALPERAL DE TORMES,Castilla y León,Avila,8.05,,54,0,5,5,0.0
FONOLLOSA,Cataluña,Barcelona,8.0,,4,0,1,1,0.0
FUENTES DE BÉJAR,Castilla y León,Salamanca,7.0,,12,0,3,3,0.0
DEHESA DE ROMANOS,Castilla y León,Palencia,8.2,,14,0,4,4,0.0
PALAZUELO DE VEDIJA,Castilla y León,Valladolid,8.1,,53,0,4,4,0.0
NIGÜELAS,Andalucía,Granada,8.149999999999999,211.0,91,0,4,4,0.0
MONTEJAQUE,Andalucía,Málaga,7.666666666666667,168.0,74,0,3,3,0.0
FUENTESOTO,Castilla y León,Segovia,7.800000000000001,,24,0,4,4,0.0
FUENTESECAS,Castilla y León,Zamora,7.8125,280.5,64,0,12,12,0.0
MONTEJO DE LA VEGA DE LA SERREZUELA,Castilla y León,Segovia,7.6,,28,0,4,4,0.0
MONTEJO DE TIERMES,Castilla y León,Soria,7.7625,,117,0,14,14,0.0
MONTEJÍCAR,Andalucía,Granada,7.733333333333333,219.0,76,0,3,3,0.0
FUENTES DE VALDEPERO,Castilla y León,Palencia,7.8,,77,0,6,6,0.0
MONTEMAYOR DE PILILLA,Castilla y León,Valladolid,8.1,,72,0,7,7,0.0
FUENTES DE ROPEL,Castilla y León,Zamora,,,2,0,2,2,0.0
MONTENEGRO DE CAMEROS,Castilla y León,Soria,,,3,0,3,3,0.0
MONTERDE,Aragón,Zaragoza,7.550000000000001,,54,0,2,2,0.0
MONTERDE DE ALBARRACÍN,Aragón,Teruel,7.8,,10,0,1,1,0.0
FUENTES DE MAGAÑA,Castilla y León,Soria,7.8,,12,0,3,3,0.0
MONTERRUBIO,Castilla y León,Segovia,8.1,166.0,59,0,5,5,0.0
FUENTES DE CARBAJAL,Castilla y León,León,8.2,,12,0,3,3,0.0
MORADILLO DE ROA,Castilla y León,Burgos,7.9,,15,0,5,5,0.0
MONTEJO,Castilla y León,Salamanca,6.8,,12,0,3,3,0.0
FUENTESPALDA,Aragón,Teruel,7.8,242.0,67,0,4,4,0.0
MONTORNÈS DE SEGARRA,Cataluña,Lleida,8.4,,12,0,1,1,0.0
FUENTESTRÚN,Castilla y León,Soria,7.7,,13,0,4,4,0.0
FUENTECAMBRÓN,Castilla y León,Soria,8.0,,13,0,4,4,0.0
MONTORNÈS DEL VALLÈS,Cataluña,Barcelona,7.95,,155,0,11,11,0.0
FUENTELMONGE,Castilla y León,Soria,7.6,,44,0,4,4,0.0
FUENTELISENDO,Castilla y León,Burgos,7.85,,50,0,4,4,0.0
MONTURQUE,Andalucía,Córdoba,7.8,406.5,94,0,8,8,0.0
