municipio,CODAUTO,CPRO,CMUN,provincia,longitud,latitud,generacion_litros,generacion_norm,no_potabilidad
"POBO DE DUEÑAS, EL",8,19,222,Guadalajara,-1.619159,40.794986,6.8,0.1227788675929605,4.332289106419147
HOMBRADOS,8,19,139,Guadalajara,-1.665389,40.819065,6.8,0.1227788675929605,4.329122294884695
ALMOCHUEL,2,50,21,Zaragoza,-0.551643,41.284064,8.0,0.217576412869774,4.325839759313777
"VILUEÑA, LA",2,50,282,Zaragoza,-1.723538,41.282326,8.0,0.217576412869774,4.317078061307086
VALVERDE DE LOS ARROYOS,8,19,311,Guadalajara,-3.235179,41.134538,6.8,0.1227788675929605,4.316878483966182
VILANOVA I LA GELTRÚ,9,8,307,Barcelona,1.718127,41.220441,12.4,0.5651674122180903,4.314870974969105
"MORERA DE MONTSANT, LA",9,43,96,Tarragona,0.83732,41.268998,13.112731000000004,0.6214717032536644,4.311548460049348
"HERRERA, LA",8,2,38,Albacete,-2.103141,38.944742,7.2,0.1543780493518983,4.302140395496904
"GRANADA, LA",9,8,94,Barcelona,1.722661,41.37692,12.4,0.5651674122180903,4.2978938723616
"GRANADELLA, LA",9,25,101,Lleida,0.654041,41.364828,10.47953,0.4134542107366219,4.295476539642356
"VENDRELL, EL",9,43,163,Tarragona,1.536252,41.219403,13.112731000000004,0.6214717032536644,4.284064045788058
BEA,2,44,36,Teruel,-1.137868,41.025651,5.245796875,0.0,4.281755095614352
"POBLA DE MONTORNÈS, LA",9,43,111,Tarragona,1.405199,41.183163,13.112731000000004,0.6214717032536644,4.2618940894739
"NOU DE GAIÀ, LA",9,43,97,Tarragona,1.379577,41.185811,13.112731000000004,0.6214717032536644,4.2618940894739
BELLPRAT,9,8,21,Barcelona,1.448042,41.513354,12.4,0.5651674122180903,4.261632668313893
"PONT DE BAR, EL",9,25,30,Lleida,1.614453,42.379542,10.47953,0.4134542107366219,4.254770301276077
"HITO, EL",8,16,101,Cuenca,-2.723279,39.847506,6.2,0.0753800949545537,4.2499595635379706
"CATLLAR, EL",9,43,43,Tarragona,1.299836,41.163688,13.112731000000004,0.6214717032536644,4.247619106461384
"SECUITA, LA",9,43,144,Tarragona,1.276166,41.209329,13.112731000000004,0.6214717032536644,4.247619106461384
"RIERA DE GAIÀ, LA",9,43,126,Tarragona,1.35619,41.163707,13.112731000000004,0.6214717032536644,4.247619106461384
"BORGES DEL CAMP, LES",9,43,31,Tarragona,1.017422,41.178056,13.112731000000004,0.6214717032536644,4.243502701117482
"ALEIXAR, L'",9,43,7,Tarragona,1.050394,41.20835,13.112731000000004,0.6214717032536644,4.243502701117482
"MORELL, EL",9,43,95,Tarragona,1.218953,41.201779,13.112731000000004,0.6214717032536644,4.23876395650835
"POBLA DE MAFUMET, LA",9,43,109,Tarragona,1.208971,41.186937,13.112731000000004,0.6214717032536644,4.23876395650835
"PALLARESOS, ELS",9,43,100,Tarragona,1.265708,41.175717,13.112731000000004,0.6214717032536644,4.238412934132105
"GARIDELLS, ELS",9,43,66,Tarragona,1.245,41.209781,13.112731000000004,0.6214717032536644,4.238412934132105
SENO,2,44,212,Teruel,-0.348302,40.827647,5.245796875,0.0,4.235521208100687
"ALMARCHA, LA",8,16,15,Cuenca,-2.388929,39.690772,6.2,0.0753800949545537,4.233560095446199
"BENITACHELL/POBLE NOU DE BENITATXELL, EL",10,3,42,Alicante/Alacant,0.148766,38.72464,14.3,0.7152635255730452,4.217783832403721
"MONTMELL, EL",9,43,90,Tarragona,1.487236,41.33164,13.112731000000004,0.6214717032536644,4.208370961861532
"BISBAL DEL PENEDÈS, LA",9,43,28,Tarragona,1.502985,41.28707,13.112731000000004,0.6214717032536644,4.208370961861532
"CABANYES, LES",9,8,27,Barcelona,1.690126,41.371644,12.4,0.5651674122180903,4.199925393581644
"MASÓ, LA",9,43,80,Tarragona,1.220327,41.238027,13.112731000000004,0.6214717032536644,4.194618687248792
